u,v,osmid,lanes,name,maxspeed,length,geometry,highway
28786871,28786863,"[865157945, 4698394]",1,nan,40,252.818,"LINESTRING (14.4624822 46.0355463, 14.4625074 46.0355158, 14.4625651 46.0354828, 14.4626299 46.0354518, 14.463124 46.0353153, 14.4633201 46.0352419, 14.4634747 46.0351703, 14.4636653 46.0350554, 14.4637473 46.0349923, 14.4638233 46.0349234, 14.4639661 46.0347651, 14.4640628 46.0345803, 14.4641225 46.0344008, 14.4642162 46.0341228, 14.4642854 46.0339996, 14.4644286 46.0338917)",motorway_link
28786871,29873954,"[865734425, 83803597]",2,"['Dolgi most', 'Južna obvoznica']",130,277.514,"LINESTRING (14.4624822 46.0355463, 14.4626529 46.0355022, 14.4640955 46.0351049, 14.4648197 46.0348785, 14.465789 46.0345694)",motorway
28787015,27436012,4565604,2,Cesta na Bokalce,50,42.53,"LINESTRING (14.4479694 46.0521942, 14.4480036 46.0522035, 14.4480361 46.0522155, 14.4480664 46.0522299, 14.4480941 46.0522466, 14.4481189 46.0522654, 14.4481405 46.0522861, 14.4481586 46.0523083, 14.448173 46.0523317, 14.4481834 46.0523562, 14.4481898 46.0523813, 14.448192 46.0524067, 14.4481901 46.0524322, 14.4481841 46.0524574, 14.448174 46.0524819, 14.4481599 46.0525054)",tertiary
28787015,27435171,"[1033617926, 324253322, 8068332, 13030737, 1031826195, 1031826196, 13030741]",2,Cesta na Bokalce,50,710.6440000000001,"LINESTRING (14.4479694 46.0521942, 14.4480156 46.0521063, 14.4480472 46.0520538, 14.4480788 46.0520089, 14.44812 46.0519557, 14.4481556 46.0519156, 14.4481963 46.0518734, 14.4482398 46.0518305, 14.4483446 46.0517437, 14.4483951 46.0517073, 14.4484488 46.051671, 14.448522 46.0516246, 14.4486137 46.0515699, 14.4487403 46.0514948, 14.4489309 46.0513762, 14.4489913 46.0513361, 14.4490507 46.051294, 14.4491389 46.0512236, 14.4492045 46.0511655, 14.4492668 46.0511012, 14.4493264 46.0510316, 14.4494778 46.0508238, 14.4496859 46.0505246, 14.4497875 46.0503785, 14.4500004 46.0500731, 14.4501591 46.0498455, 14.4502354 46.0497319, 14.4503417 46.0495736, 14.4506009 46.0491704, 14.4506494 46.0491016, 14.4507199 46.0490109, 14.4507703 46.0489522, 14.4508057 46.0489142, 14.4508927 46.0488283, 14.4509804 46.0487479, 14.4512108 46.0485454, 14.4515535 46.0482535, 14.4516393 46.0481853, 14.4517108 46.0481321, 14.4517519 46.0480973, 14.451771 46.0480812, 14.4519051 46.0479882, 14.4520419 46.0479186, 14.4521677 46.0478616, 14.4522638 46.0478276, 14.4523938 46.0477891, 14.4525417 46.0477578, 14.452672 46.0477403, 14.452757 46.0477323, 14.4529322 46.0477299, 14.4530428 46.0477304, 14.4533269 46.0477331, 14.453717 46.0477308)",tertiary
28975783,16325232,167377903,4,Cesta Janeza Porente,50,100.884,"LINESTRING (14.5253085 46.0816512, 14.5254214 46.0816189, 14.5255973 46.0815543, 14.5257364 46.0814858, 14.5258407 46.0814088, 14.5259111 46.0813394, 14.5259636 46.0812689, 14.5260029 46.081202, 14.5260468 46.0811186, 14.5261096 46.0809905)",primary_link
29054938,26546558,"[150212769, 937453985, 1062149023]",2,Cesta Ljubljanske brigade,50,74.62400000000001,"LINESTRING (14.4861105 46.0806201, 14.4860413 46.0806873, 14.4860052 46.0807227, 14.4856399 46.0810805, 14.4855448 46.0811644)",tertiary
29054938,1653007127,"[1062149024, 937453986, 152483363, 1062148950, 1062196188, 1062149023]",3.0,Cesta Ljubljanske brigade,50,436.231,"LINESTRING (14.4861105 46.0806201, 14.4861393 46.0805947, 14.4862454 46.0805015, 14.4866564 46.0801168, 14.486978 46.0798052, 14.4871225 46.0796666, 14.4873673 46.0794224, 14.487441 46.0793438, 14.4875136 46.079268, 14.4875735 46.0792099, 14.4877005 46.0790844, 14.4880486 46.0787419, 14.488299 46.0784705, 14.488408 46.0783307, 14.4885111 46.0781642, 14.4886638 46.0779285, 14.4888243 46.0776647, 14.4888716 46.0775948, 14.4889004 46.0775568, 14.4889227 46.0775274, 14.4889614 46.0774832, 14.489003 46.077442, 14.4890332 46.0774131, 14.4890504 46.0773967, 14.4891545 46.0773358)",tertiary
29871597,26730402,"[170677024, 1113749137, 170677023, 4698074, 1113749119]",2.5,Riharjeva ulica,50,243.59000000000006,"LINESTRING (14.4975446 46.0438649, 14.4976204 46.0437659, 14.4976427 46.0437369, 14.4977625 46.0435603, 14.4978048 46.0434992, 14.4979901 46.0432318, 14.4980723 46.043113, 14.4981053 46.0430655, 14.4982378 46.0428742, 14.4982736 46.0428226, 14.4982995 46.0427849, 14.4986666 46.0422484, 14.4987599 46.0421119, 14.4988042 46.0420472, 14.4988243 46.0420175, 14.4988501 46.0419794, 14.4989105 46.0418902)",tertiary
29871597,162236296,162961617,2,Finžgarjeva ulica,50,224.779,"LINESTRING (14.4975446 46.0438649, 14.4976712 46.0438885, 14.4980514 46.0439377, 14.4992799 46.0440418, 14.4997813 46.0440691, 14.49994 46.0440728, 14.5001164 46.0440749, 14.5002327 46.0440749, 14.5004349 46.0440679)",tertiary
29871597,26546531,"[461407248, 1113760652, 1113760636]",2,Groharjeva ulica,50,231.39500000000004,"LINESTRING (14.4975446 46.0438649, 14.4974957 46.0439368, 14.4973728 46.0441177, 14.4973364 46.0441711, 14.4972295 46.0443285, 14.4970622 46.0445746, 14.4970545 46.0445859, 14.4969989 46.0446678, 14.4969222 46.0447807, 14.49687 46.0448574, 14.4968069 46.0449502, 14.496784 46.0449839, 14.4966549 46.0451739, 14.4966112 46.0452381, 14.4964549 46.0454681, 14.4964038 46.0455432, 14.4963533 46.0456176, 14.4963049 46.0456938, 14.4962654 46.0457469)",tertiary
29873954,26408352,"[83803595, 83803596, 83803598, 83803599, 294308880, 294308862]",2.5,Južna obvoznica,130,886.865,"LINESTRING (14.465789 46.0345694, 14.4662609 46.0344086, 14.4666101 46.034287, 14.4670418 46.034131, 14.4675675 46.033937, 14.4686428 46.033507, 14.4704573 46.0327368, 14.47141 46.0323179, 14.4729776 46.0316346, 14.4739154 46.0312268, 14.4756158 46.0305199, 14.4756629 46.0305001)",motorway
30482326,26505763,"[864283682, 864285572, 38151541, 996485079]",2.5,Kopačeva cesta,50,371.01699999999994,"LINESTRING (14.5044051 46.0370785, 14.5042556 46.0371205, 14.5041934 46.0371379, 14.5040439 46.0371825, 14.5037681 46.037258, 14.5018075 46.0377549, 14.5017172 46.0377776, 14.5016279 46.0377981, 14.5014712 46.0378312, 14.5009324 46.0379238, 14.5005045 46.0379863, 14.5001788 46.0380315, 14.5001052 46.038041, 14.4998346 46.038087)",tertiary
30482326,371723676,"[513334656, 14761569, 1049455395, 14762501, 38151542, 32071703, 32071702, 881602585, 1049456794, 14761563, 513334654, 513334655]",2.5,"['Jurčkova cesta', 'Hladnikova cesta']",50,922.2280000000001,"LINESTRING (14.5044051 46.0370785, 14.5045848 46.037028, 14.5046668 46.037005, 14.5049867 46.0368883, 14.5054505 46.0367093, 14.5056715 46.0366218, 14.5060325 46.0364725, 14.506346 46.0363336, 14.5066841 46.0361881, 14.5067706 46.0361493, 14.5081564 46.0355134, 14.5088963 46.0351713, 14.5089604 46.0351416, 14.5093478 46.0349617, 14.5094118 46.0349303, 14.5104343 46.0344573, 14.511271 46.0340693, 14.5116327 46.0339016, 14.5122201 46.033628, 14.5123989 46.0335435, 14.5124669 46.0335109, 14.5126204 46.0334424, 14.512813 46.0333492, 14.5128745 46.0333208, 14.5132601 46.0331471, 14.5133606 46.0330997, 14.5140989 46.0327534, 14.5143648 46.0326326, 14.5144449 46.0325954)",tertiary
30482326,1627101302,"[900143226, 371756583, 881603403, 39560878, 996689432, 996689433, 996689434, 149759742]",2,Opekarska cesta,50,574.35,"LINESTRING (14.5044051 46.0370785, 14.5045153 46.0371763, 14.5045727 46.0372272, 14.5047232 46.0373572, 14.5049147 46.0375255, 14.5049798 46.0375859, 14.5050828 46.0376798, 14.5051005 46.0376955, 14.5052165 46.0377989, 14.505266 46.0378405, 14.5054075 46.0379649, 14.5054951 46.0380419, 14.5064754 46.0388963, 14.50652 46.0389352, 14.5068991 46.0392719, 14.5074496 46.0397574, 14.5076094 46.0398952, 14.508095 46.0403204, 14.5083135 46.0405181, 14.5087274 46.0408755, 14.5088344 46.0409621, 14.5089823 46.041085, 14.5090299 46.0411245)",tertiary
30482326,26730404,"[1052816068, 881598345, 31660557, 4770350, 4770355, 996689428, 996689429, 14762710, 14762716]",2,"['Pot na Rakovo Jelšo', 'Opekarska cesta', 'Cesta na Mesarico']",30,549.6990000000001,"LINESTRING (14.5044051 46.0370785, 14.5043059 46.0369908, 14.504259 46.0369492, 14.504148 46.0368508, 14.5039488 46.0366781, 14.5028612 46.0357293, 14.5027065 46.0355943, 14.5026461 46.0355396, 14.5017091 46.0346922, 14.5015588 46.0345609, 14.5015032 46.0345123, 14.5014606 46.0344704, 14.5014264 46.0344322, 14.5013999 46.0343915, 14.5013855 46.0343477, 14.5013808 46.0343074, 14.5013818 46.0342679, 14.5013912 46.0342276, 14.501409 46.0341936, 14.5014303 46.0341644, 14.5015082 46.0340868, 14.5016641 46.0339471, 14.5016993 46.0339022, 14.5017178 46.0338708, 14.5017308 46.0338375, 14.5017365 46.0338003, 14.5017416 46.0336995, 14.5017426 46.0336801, 14.5017426 46.0336159, 14.5017463 46.0335935, 14.5017694 46.0334558, 14.5018007 46.0333156, 14.5018272 46.0332233, 14.5018715 46.0330687, 14.5018907 46.0329996, 14.50191 46.0329334)",tertiary
30482327,8241131570,"[461405857, 1037336786, 23097579, 1037336785]",2,Janežičeva cesta,40.0,272.575,"LINESTRING (14.5097114 46.0417376, 14.5097994 46.0418118, 14.5098397 46.0418477, 14.5099437 46.0419402, 14.5099916 46.041982, 14.5100565 46.0420386, 14.5102594 46.0422155, 14.5102995 46.0422505, 14.510544 46.0424637, 14.5107813 46.0426709, 14.5108239 46.0427078, 14.5108761 46.0427542, 14.5111646 46.0430084, 14.5116208 46.0434109, 14.5117832 46.0435548, 14.5118251 46.043592, 14.5119018 46.0436604)",tertiary
30482327,16817239,"[38151544, 39753289, 999263990, 461405855]",2.5,"['Privoz', 'Prule']",30,418.4720000000001,"LINESTRING (14.5097114 46.0417376, 14.5098148 46.0416791, 14.5098595 46.0416532, 14.5100911 46.041519, 14.5103367 46.0413767, 14.5106391 46.0411902, 14.5108269 46.0410746, 14.5108869 46.0410378, 14.5109455 46.0410014, 14.5110059 46.0410549, 14.5111402 46.0411739, 14.5111827 46.0412115, 14.5113719 46.041379, 14.5114081 46.0414111, 14.5114517 46.0414497, 14.5115322 46.0415206, 14.511607 46.0415872, 14.5117602 46.0417229, 14.5118019 46.0417598, 14.511882 46.0418307, 14.511947 46.0418882, 14.5120568 46.0419855, 14.5121066 46.0420296, 14.5121622 46.0420784, 14.5123812 46.0422719, 14.5124905 46.0423649, 14.5125702 46.0424286, 14.5126493 46.0424893, 14.5128078 46.0425928, 14.5129594 46.0426783, 14.5131617 46.0427799, 14.5132375 46.0428108, 14.5135082 46.0429085)",tertiary
30482327,1627101315,"[162963698, 23097580, 867872302]",2,Janežičeva cesta,40.0,67.812,"LINESTRING (14.5097114 46.0417376, 14.5096395 46.0416745, 14.509618 46.0416554, 14.5096107 46.0416488, 14.5092526 46.0413259, 14.5092224 46.0412974, 14.5091756 46.0412543)",tertiary
30486662,49922101,"[992261632, 977640385, 977640386, 992261633, 992264176, 977640209, 977640208, 992267411, 992264177, 992267410, 149769844, 977640382]",2.5,Zaloška cesta,60,1266.5460000000003,"LINESTRING (14.550438 46.0560814, 14.550741 46.0560755, 14.5513973 46.0560796, 14.5548975 46.0561031, 14.5556962 46.0561096, 14.5557849 46.0561099, 14.5560777 46.0561056, 14.5563753 46.0560992, 14.5568003 46.0560983, 14.5570877 46.056106, 14.5574115 46.0561184, 14.5578408 46.0561189, 14.5585475 46.056122, 14.5589156 46.0561154, 14.5591681 46.0561059, 14.5595738 46.0560895, 14.5599482 46.0560635, 14.5602891 46.0560298, 14.5610851 46.0559391, 14.5611554 46.0559304, 14.5614411 46.0558793, 14.5617448 46.0558196, 14.5624444 46.0556833, 14.5627764 46.055614, 14.5631845 46.055519, 14.5635765 46.0554232, 14.5639608 46.055331, 14.564343 46.055248, 14.564632 46.0551917, 14.5648723 46.0551494, 14.5653775 46.0550701, 14.5659685 46.0550084, 14.5662808 46.0549857, 14.5663664 46.0549796, 14.5666406 46.0549602)",primary
30486662,6178976728,"[992272739, 992272740, 992272741, 226556931, 1041510920, 1041510921, 1041510922, 302864235, 4771093, 149769847]",2.5,"['Pot na Fužine', 'Nove Fužine']",30,1392.0559999999998,"LINESTRING (14.550438 46.0560814, 14.5504344 46.0559732, 14.550434 46.0559073, 14.5504325 46.0557619, 14.5504306 46.0554194, 14.5504316 46.0551347, 14.5504285 46.055046, 14.5505559 46.0550339, 14.5507004 46.055008, 14.5508913 46.0549664, 14.5510242 46.0549266, 14.5511522 46.0548866, 14.5512934 46.0548346, 14.5516359 46.0546981, 14.5518748 46.0546114, 14.5520153 46.0545702, 14.5521882 46.0545195, 14.5524696 46.05445, 14.5525599 46.0544286, 14.5526906 46.0544022, 14.5527437 46.0543908, 14.5528891 46.0543659, 14.5530298 46.0543464, 14.5534684 46.0542983, 14.553664 46.0542834, 14.5537841 46.0542775, 14.5541666 46.0542742, 14.5546009 46.0542949, 14.5547104 46.0543071, 14.5552071 46.0543559, 14.5554871 46.0543784, 14.5559236 46.0544248, 14.5560817 46.0544409, 14.5565058 46.0544808, 14.5568626 46.0545161, 14.5569982 46.0545281, 14.5572978 46.0545574, 14.5579319 46.0546059, 14.5581246 46.0546185, 14.5587758 46.05463, 14.5594272 46.0546335, 14.5595796 46.0546343, 14.5598168 46.0546335, 14.5603069 46.0546286, 14.5612253 46.0546291, 14.5614535 46.0546286, 14.5623901 46.0546284, 14.5625308 46.0546284, 14.5632347 46.0546334, 14.5638398 46.0546303, 14.5643275 46.0546235, 14.5644551 46.0546147, 14.5646062 46.054596, 14.5647599 46.0545701, 14.5648328 46.0545559, 14.5649384 46.0545326, 14.5650448 46.0545048, 14.565148 46.0544754, 14.5653567 46.0544114, 14.5655872 46.0543395, 14.5656973 46.0543082, 14.5657695 46.0542889, 14.5658501 46.0542694, 14.5659262 46.0542516, 14.5660417 46.054229, 14.5661534 46.0542087, 14.566378 46.0541773, 14.5664765 46.0541655, 14.5666198 46.0541531)",tertiary
30536863,30536874,990094100,1,nan,50,23.918,"LINESTRING (14.5513433 46.0671001, 14.5513105 46.067087, 14.5512844 46.0670719, 14.551257 46.0670517, 14.5512409 46.0670295, 14.5512342 46.0670125, 14.5512242 46.0669793, 14.5512188 46.0669408, 14.5512226 46.0669185)",tertiary
30536866,30536863,990094052,1,nan,50,18.132,"LINESTRING (14.5515679 46.0670847, 14.5515263 46.0671009, 14.5514969 46.0671078, 14.5514612 46.0671118, 14.5514215 46.0671123, 14.5513809 46.0671083, 14.5513433 46.0671001)",tertiary
30536866,9149547698,990094092,1,Bratislavska,50,39.203,"LINESTRING (14.5515679 46.0670847, 14.5515438 46.0671393, 14.5515241 46.0672025, 14.5515153 46.067256, 14.5515361 46.0673937, 14.5515629 46.0674274)",tertiary
30536868,8165614345,990094093,1,Leskoškova cesta,50,7.998,"LINESTRING (14.5517131 46.0670246, 14.5516159 46.0670496)",tertiary
30536868,9149547710,990094094,1,Bratislavska,50,5.0809999999999995,"LINESTRING (14.5517131 46.0670246, 14.5517039 46.0670471, 14.5516891 46.0670669)",tertiary
30536871,9149547717,990094051,1,nan,50,5.583,"LINESTRING (14.5515204 46.0667961, 14.5515888 46.0668125)",tertiary
30536871,1630656013,990094069,1,Bratislavska cesta,50,9.299,"LINESTRING (14.5515204 46.0667961, 14.551576 46.0668703)",tertiary
30536874,1630656013,4775804,1,nan,50,29.784999999999997,"LINESTRING (14.5512226 46.0669185, 14.551292 46.0668977, 14.5513283 46.066883, 14.5513585 46.0668675, 14.5514018 46.0668519, 14.5514489 46.0668459, 14.5514876 46.0668471, 14.5515218 46.066852, 14.5515499 46.0668593, 14.551576 46.0668703)",tertiary
30536874,9149547720,990094099,1,nan,50,15.166,"LINESTRING (14.5512226 46.0669185, 14.551234 46.0668939, 14.5512482 46.0668689, 14.5512789 46.0668403, 14.5513098 46.0668215, 14.5513333 46.0668108)",tertiary
30839784,9149350027,990068667,2,Štajerska cesta,70,8.347,"LINESTRING (14.5435453 46.104608, 14.5436267 46.1046575)",primary
30839784,9149350017,187009136,1,Zasavska cesta,50,58.480999999999995,"LINESTRING (14.5435453 46.104608, 14.5437903 46.1045514, 14.5442607 46.1044333)",primary
30839912,3320241564,"[23068288, 115572889, 115572887]",2.5,Dunajska cesta,50,268.351,"LINESTRING (14.5201952 46.1009884, 14.5201138 46.1009733, 14.520038 46.100946, 14.5199966 46.1009306, 14.51993 46.1009032, 14.5183552 46.1002212, 14.5176609 46.0999069, 14.5172483 46.0997105)",secondary
30839912,59154432,"[1152728736, 149731552, 1050518018, 1154544323, 1050518017, 941567525, 678163822, 149731548, 1040040572, 1040040573]",2.5,Dunajska cesta,50,828.8639999999998,"LINESTRING (14.5201952 46.1009884, 14.520352 46.100998, 14.520415 46.1010019, 14.5205409 46.1009981, 14.5206656 46.1009857, 14.5212617 46.1009129, 14.5215552 46.1008765, 14.5216752 46.1008623, 14.5216985 46.1008595, 14.5217501 46.1008538, 14.5219492 46.1008318, 14.5221764 46.1008149, 14.5222963 46.100812, 14.5224742 46.1008163, 14.5225427 46.1008217, 14.5226756 46.1008323, 14.5229868 46.1008651, 14.5232617 46.1009024, 14.5235025 46.1009405, 14.5243177 46.1010994, 14.5244991 46.1011351, 14.5248822 46.1012105, 14.5249268 46.1012192, 14.5251456 46.1012619, 14.5253067 46.1012937, 14.5254059 46.1013125, 14.5255273 46.1013356, 14.5261037 46.1014485, 14.5261712 46.1014621, 14.5263759 46.1015035, 14.5267015 46.1015659, 14.5276626 46.1017522, 14.527889 46.1017971, 14.5285914 46.1019333, 14.5290878 46.102035, 14.5296068 46.1021671, 14.5297465 46.1022051, 14.530223 46.1023349, 14.5304177 46.1023909, 14.530576 46.1024413)",secondary
30839912,3512583532,"[1015861248, 160675781, 1154547335, 339829544, 1154547658, 149760971, 318994861, 230139640, 8108240, 317324088, 315916080, 401213176, 230139641, 11948285]",2,"['Srednje Gameljne', 'Gameljska cesta', 'Zgornje Gameljne', 'Spodnje Gameljne']",40,4927.461999999999,"LINESTRING (14.5201952 46.1009884, 14.5201667 46.1010568, 14.5201362 46.1010953, 14.5200536 46.1011654, 14.5199829 46.1012213, 14.5197666 46.1013809, 14.5196305 46.1014884, 14.5195569 46.1015634, 14.5194915 46.1016379, 14.5194481 46.1017011, 14.5194202 46.1017751, 14.5194065 46.1018551, 14.5194113 46.1019886, 14.5194759 46.1023666, 14.5194852 46.102407, 14.5195045 46.1024676, 14.519547 46.1025924, 14.5195608 46.1026397, 14.5195682 46.1026729, 14.5195731 46.1027074, 14.5195746 46.1027339, 14.5195722 46.1027796, 14.5195648 46.1028185, 14.5195496 46.1028661, 14.5195275 46.1029172, 14.5195052 46.1029543, 14.5194826 46.1029889, 14.5194465 46.1030364, 14.5194046 46.1030884, 14.5193495 46.1031537, 14.5192544 46.1032582, 14.5191841 46.1033257, 14.5190785 46.1034142, 14.5189022 46.1035349, 14.5188309 46.1035889, 14.5187712 46.1036402, 14.5187337 46.1036797, 14.5186937 46.1037336, 14.5186626 46.1037857, 14.5186201 46.1038682, 14.5185794 46.1039564, 14.5185373 46.1040507, 14.5185102 46.1041192, 14.5184744 46.104225, 14.5184482 46.1043185, 14.5184313 46.1044165, 14.5184133 46.1045198, 14.5184004 46.1045676, 14.518379 46.1046219, 14.5183546 46.1046706, 14.5183211 46.1047268, 14.5182821 46.1047806, 14.5182179 46.1048689, 14.5181685 46.1049579, 14.518134 46.1050389, 14.518109 46.1051205, 14.5180838 46.1052532, 14.5180717 46.105359, 14.518061 46.1054346, 14.5180299 46.1055567, 14.5179614 46.1057411, 14.5179172 46.10585, 14.517859 46.1059929, 14.5178191 46.106071, 14.5177689 46.1061373, 14.5177131 46.1061908, 14.517656 46.1062345, 14.5175883 46.1062658, 14.517498 46.1062971, 14.5173542 46.1063408, 14.5171548 46.1063943, 14.5170217 46.1064337, 14.5168926 46.1064688, 14.5167333 46.1065033, 14.5166033 46.1065252, 14.5164248 46.1065595, 14.5163319 46.1065883, 14.5162511 46.1066204, 14.5161853 46.1066545, 14.5161104 46.1067004, 14.5160484 46.1067432, 14.515954 46.1068099, 14.5158142 46.1069164, 14.5156681 46.1070327, 14.51482 46.1077207, 14.5147387 46.1077835, 14.5146755 46.1078286, 14.5146453 46.1078481, 14.5145888 46.1078834, 14.5144982 46.1079363, 14.5144424 46.1079664, 14.5143746 46.1080002, 14.514217 46.1080712, 14.5141144 46.1081149, 14.5139881 46.1081681, 14.5137681 46.1082592, 14.5133973 46.1084145, 14.513272 46.1084726, 14.513185 46.1085222, 14.5131085 46.1085766, 14.5130137 46.1086588, 14.5129364 46.1087382, 14.5128758 46.1088178, 14.5128297 46.1088903, 14.5127791 46.1090014, 14.512761 46.1090545, 14.5127489 46.1091275, 14.512746 46.1091977, 14.5127491 46.1092919, 14.5127598 46.1094781, 14.5127711 46.1096506, 14.5127853 46.1098607, 14.512794 46.1099543, 14.5128047 46.1100253, 14.5128185 46.11008, 14.512843 46.1101499, 14.5128668 46.1102213, 14.512881 46.1102837, 14.5128879 46.1103272, 14.5128891 46.1103747, 14.5128837 46.1104185, 14.5128725 46.1104576, 14.5128494 46.1105093, 14.5128219 46.1105623, 14.5127886 46.1106172, 14.5126987 46.1107504, 14.5126051 46.1108911, 14.5125343 46.1110119, 14.5124582 46.1111628, 14.5123791 46.1113299, 14.5123097 46.1114927, 14.5122058 46.111757, 14.5121029 46.1119939, 14.5120565 46.1120666, 14.5119698 46.1121726, 14.5118203 46.112331, 14.5116354 46.1125179, 14.5115023 46.1126461, 14.5114402 46.1126963, 14.5113789 46.1127397, 14.5112926 46.1127851, 14.5111956 46.1128319, 14.5109587 46.1129397, 14.5108116 46.1130175, 14.5106338 46.1131305, 14.5104957 46.1132175, 14.5103333 46.1133205, 14.5101874 46.1134113, 14.5101163 46.1134493, 14.5100073 46.1134973, 14.5098471 46.1135579, 14.5096621 46.1136266, 14.5095041 46.1136844, 14.5093472 46.1137401, 14.5092624 46.1137625, 14.5091628 46.113782, 14.5090834 46.1137904, 14.5089805 46.113792, 14.5088536 46.1137856, 14.5086843 46.1137703, 14.508531 46.1137578, 14.5084281 46.1137548, 14.508353 46.1137622, 14.5083059 46.1137739, 14.5082475 46.1137933, 14.5081852 46.1138307, 14.5081213 46.1138789, 14.5080328 46.1139682, 14.5079563 46.1140631, 14.5078555 46.114202, 14.5077897 46.1143091, 14.5077493 46.1143825, 14.5077236 46.1144379, 14.5076766 46.1145628, 14.5076307 46.1147015, 14.5075904 46.1148425, 14.5075338 46.1150788, 14.5074405 46.1154314, 14.5073792 46.1156043, 14.5073395 46.1156856, 14.5072932 46.1157432, 14.5072338 46.1158046, 14.5071794 46.1158514, 14.5070118 46.1159723, 14.5067878 46.1161061, 14.5065102 46.11628, 14.5063077 46.116412, 14.5061629 46.116531, 14.5060757 46.1166156, 14.5060377 46.1166598, 14.5059966 46.1167076, 14.5059161 46.1168145, 14.5058517 46.1169028, 14.5058034 46.1170116, 14.5057444 46.117218, 14.505613 46.11764, 14.5055097 46.1179645, 14.5054817 46.1180456, 14.5054467 46.1181467, 14.5054118 46.1182164, 14.5053555 46.1183103, 14.5052885 46.1183958, 14.5052335 46.1184563, 14.505157 46.1185241, 14.5050511 46.1186031, 14.5048003 46.1187937, 14.504638 46.1189201, 14.5045401 46.1190224, 14.504457 46.1191135, 14.5043322 46.1192799, 14.5042102 46.1194742, 14.5041123 46.119661, 14.5040412 46.1198153, 14.5039795 46.1199827, 14.503938 46.1200989, 14.5038937 46.1202309, 14.5038505 46.1203941, 14.5038334 46.1204586, 14.5038159 46.1205664, 14.5038081 46.1206176, 14.5037851 46.1207682, 14.5037569 46.1210572, 14.5037301 46.1212924, 14.50371 46.1214904, 14.5037127 46.1216159, 14.5037234 46.1217126, 14.5037569 46.1218966, 14.503786 46.1220048, 14.5037918 46.1220807, 14.503773 46.1221513, 14.5037462 46.1222099, 14.5037046 46.1222945, 14.5036483 46.1223735, 14.5036008 46.1224234, 14.5035218 46.1224976, 14.503441 46.1225474, 14.5033406 46.1225856, 14.5032455 46.1226129, 14.5031111 46.1226336, 14.5029823 46.1226567, 14.5028605 46.1226921, 14.5028078 46.1227177, 14.5027685 46.1227546, 14.5027363 46.1227974, 14.5027095 46.1228764, 14.5027001 46.123014, 14.5026968 46.1230494, 14.5026965 46.1230529, 14.5026948 46.1230716, 14.5026988 46.1231478, 14.5027122 46.1232017, 14.5027377 46.1232826, 14.50279 46.1234099, 14.5028262 46.123515, 14.5028396 46.1235958, 14.5028364 46.1236195, 14.5028262 46.1236944, 14.5027752 46.1238292, 14.5027082 46.1240318, 14.5026961 46.1241554, 14.502676 46.1242976, 14.5026438 46.1243952, 14.5026116 46.1244389, 14.5025808 46.1244873, 14.5025218 46.124544, 14.5024641 46.1245848, 14.5023769 46.1246434, 14.5021958 46.1247601, 14.501895 46.124968, 14.5016934 46.1251131, 14.5014403 46.1252809, 14.5013614 46.1253443, 14.5012837 46.1254227, 14.5012168 46.125483, 14.5011343 46.1255449, 14.5010169 46.1256134, 14.5008919 46.1256769, 14.5007439 46.1257426, 14.5004819 46.1258367, 14.5001762 46.1259312, 14.5000663 46.1259618, 14.4999292 46.1259961, 14.4998502 46.1260159, 14.4997791 46.1260328, 14.4994599 46.1261085, 14.4992077 46.126153, 14.4988431 46.1262, 14.4984242 46.126263, 14.4982732 46.1262906, 14.4981199 46.1263219, 14.4979209 46.1263738, 14.4977552 46.1264245, 14.4976863 46.1264456, 14.4974919 46.1265052, 14.497313 46.1265485, 14.4970076 46.1266312, 14.496862 46.1266666, 14.4967349 46.1266921, 14.4964841 46.1267394, 14.4957873 46.1268475, 14.4952553 46.1269266, 14.4948088 46.1269832, 14.4945639 46.1270107, 14.4942314 46.1270409, 14.4939693 46.1270537, 14.4937645 46.1270563, 14.4933317 46.1270491, 14.4932025 46.1270514, 14.4928319 46.1270718, 14.4926015 46.1270828, 14.4923734 46.1270977, 14.4922181 46.1270993, 14.4919664 46.1270993, 14.4915926 46.1271145, 14.4913895 46.1271185, 14.4912893 46.1271242, 14.4911867 46.1271344, 14.4911022 46.1271512, 14.4910191 46.127167, 14.4908702 46.1272339, 14.4906771 46.1273278, 14.490492 46.1274096, 14.4903392 46.1274644, 14.4902679 46.1274726, 14.490207 46.1274799, 14.4901301 46.1274787, 14.490058 46.1274707, 14.4899806 46.1274514, 14.4899225 46.1274321, 14.4898184 46.1273896, 14.4896709 46.1273181, 14.4891956 46.1270519, 14.4889843 46.1269164, 14.4887654 46.1267758, 14.4886727 46.1267277, 14.4884156 46.1266108, 14.4883152 46.1265735, 14.488169 46.1265192, 14.4879483 46.1264225, 14.4875274 46.1262176, 14.4869694 46.1259401, 14.486611 46.1257957, 14.486091 46.1255897, 14.4858996 46.1255122, 14.4854163 46.1253343, 14.4850941 46.1252281, 14.484789 46.1251505, 14.4841543 46.1250128, 14.4839708 46.1249701, 14.4838067 46.124927, 14.4836511 46.1248795, 14.4834982 46.1247958, 14.4833775 46.124701, 14.4832769 46.1245746, 14.4832407 46.1244761, 14.4832192 46.1243398, 14.4832085 46.1241443, 14.4832058 46.1241113)",tertiary
