u,v,osmid,lanes,name,maxspeed,length,geometry,highway
16148422,26408564,64026091,2,Severna obvoznica,110,900.097,"LINESTRING (14.4856323 46.0808412, 14.4848883 46.0804967, 14.4839839 46.0800664, 14.4835395 46.0798578, 14.4831473 46.0796839, 14.4827421 46.079519, 14.4823297 46.0793632, 14.4821241 46.0792891, 14.4817027 46.0791481, 14.4813428 46.079036, 14.4807021 46.0788508, 14.480278 46.0787326, 14.4780258 46.0781134, 14.4774454 46.0779539, 14.4769412 46.0778154, 14.4760702 46.0775765, 14.4751729 46.0773288)",trunk
16148865,474737209,149731560,6,Dunajska cesta,60,12.177,"LINESTRING (14.509992 46.068104, 14.5099642 46.0679962)",primary
16148865,480393063,149731561,5,Dunajska cesta,60,40.355999999999995,"LINESTRING (14.509992 46.068104, 14.5100348 46.0682536, 14.5100497 46.0683141, 14.5100859 46.068461)",primary
16148865,5655788498,149768320,2,Samova ulica,60,73.202,"LINESTRING (14.509992 46.068104, 14.5097579 46.0681432, 14.5096695 46.0681515, 14.5094245 46.0681706, 14.509333 46.0681734, 14.5092578 46.0681729, 14.5091799 46.0681698, 14.5090691 46.0681261)",primary
16148883,16148888,980728622,3,Samova ulica,60,53.352000000000004,"LINESTRING (14.5035859 46.0665008, 14.5032593 46.0664657, 14.5031651 46.0664516, 14.5029044 46.0664199)",primary
16148883,5655788498,"[1039715808, 1039715809, 1039715810, 1039715811, 1039715812, 1039715813, 1039715814, 1039715817, 980726192, 980726193]",4.5,Samova ulica,60,460.23299999999995,"LINESTRING (14.5035859 46.0665008, 14.5038355 46.0665588, 14.5041659 46.0666467, 14.5043467 46.066702, 14.5050121 46.0669058, 14.5050988 46.0669344, 14.5052163 46.0669712, 14.505759 46.0671413, 14.5060965 46.0672465, 14.5065137 46.067377, 14.5066488 46.0674193, 14.5068547 46.0674837, 14.5070999 46.0675579, 14.5071689 46.0675788, 14.5072348 46.0675987, 14.5072531 46.0676042, 14.5074394 46.0676606, 14.5078192 46.0677754, 14.5078846 46.0677952, 14.5079917 46.0678276, 14.5081703 46.0678755, 14.508238 46.0678937, 14.5086165 46.0680112, 14.5087193 46.0680393, 14.5088868 46.0680863, 14.5090691 46.0681261)",primary
16148888,9072216037,4879417,2,Drenikova ulica,60,7.438,"LINESTRING (14.5029044 46.0664199, 14.50281 46.0664063)",primary
16148888,96903322,"[883425412, 980728607]",1.5,Podmilščakova ulica,50,46.038,"LINESTRING (14.5029044 46.0664199, 14.5029194 46.066545, 14.5029083 46.066634, 14.5028801 46.0668322)",tertiary
16149404,10780523701,1159255267,2,Bežigrad,50,10.207,"LINESTRING (14.5085193 46.0636012, 14.5083929 46.0636283)",tertiary
16149404,10024848414,"[974488466, 1159255581]",2,Dunajska cesta,60,124.542,"LINESTRING (14.5085193 46.0636012, 14.5085917 46.0637908, 14.508639 46.0639252, 14.5086736 46.0640063, 14.5087828 46.0642893, 14.5088153 46.0643752, 14.5088558 46.0644966, 14.5088856 46.0645968, 14.5088583 46.0646871)",primary
16149404,8554461499,"[1041230436, 978863187, 39603116, 1041230437]",2.5,Linhartova cesta,50,354.053,"LINESTRING (14.5085193 46.0636012, 14.508693 46.063496, 14.5088256 46.0634692, 14.5090642 46.0634284, 14.509216 46.0634078, 14.5093533 46.0633949, 14.5094674 46.0633855, 14.5095913 46.063379, 14.5097054 46.0633747, 14.5098635 46.0633711, 14.510022 46.0633724, 14.5101755 46.0633782, 14.5103222 46.0633874, 14.5104596 46.0634011, 14.5105679 46.063413, 14.5106752 46.0634269, 14.5109273 46.0634648, 14.5124971 46.0637712, 14.5125936 46.06379, 14.5129148 46.0639082)",primary
